ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
1380;L=3;54;96;L=4;96;172;
1381;L=3;36;54;L=4;54;82;
1382;L=3;40;59;L=4;59;88;
1383;L=3;45;75;L=4;75;127;
1384;L=3;49;80;L=4;80;133;
1385;L=3;58;101;L=4;101;178;
1386;L=3;58;104;L=4;104;190;
1387;L=3;23;25;L=4;25;25;
1388;L=3;28;41;L=4;41;64;
1389;L=3;32;46;L=4;46;70;
1390;L=3;37;62;L=4;62;109;
1391;L=3;41;67;L=4;67;115;
1392;L=3;46;83;L=4;83;154;
1393;L=3;32;46;L=4;46;70;
1394;L=3;37;62;L=4;62;109;
1395;L=3;41;67;L=4;67;115;
1396;L=3;50;88;L=4;88;160;
1397;L=3;53;94;L=4;94;169;
1398;L=3;39;57;L=4;57;85;
1399;L=3;44;73;L=4;73;124;
1400;L=3;48;78;L=4;78;130;
1401;L=3;57;99;L=4;99;175;
1402;L=3;56;101;L=4;101;186;
1403;L=3;60;106;L=4;106;192;
1404;L=3;62;109;L=4;109;196;
1405;L=3;28;41;L=4;41;64;
1406;L=3;32;46;L=4;46;70;
1407;L=3;37;62;L=4;62;109;
1408;L=3;41;67;L=4;67;115;
1409;L=3;46;83;L=4;83;154;
1410;L=3;50;88;L=4;88;160;
1411;L=3;53;94;L=4;94;169;
1412;L=3;35;52;L=4;52;79;
1413;L=3;39;57;L=4;57;85;
1414;L=3;44;73;L=4;73;124;
1415;L=3;48;78;L=4;78;130;
1416;L=3;57;99;L=4;99;175;
1417;L=3;56;101;L=4;101;186;
1418;L=3;60;106;L=4;106;192;
1419;L=3;55;97;L=4;97;173;
1420;L=3;21;23;L=4;23;23;
1421;L=3;25;28;L=4;28;29;
1422;L=3;30;44;L=4;44;68;
1423;L=3;34;49;L=4;49;74;
1424;L=3;39;65;L=4;65;113;
1425;L=3;43;70;L=4;70;119;
1426;L=3;48;86;L=4;86;158;
1427;L=3;30;44;L=4;44;68;
1428;L=3;34;49;L=4;49;74;
1429;L=3;39;65;L=4;65;113;
1430;L=3;43;70;L=4;70;119;
1431;L=3;52;91;L=4;91;164;
1432;L=3;59;102;L=4;102;179;
1433;L=3;37;55;L=4;55;83;
1434;L=3;41;60;L=4;60;89;
1435;L=3;46;76;L=4;76;128;
1436;L=3;50;81;L=4;81;134;
1437;L=3;62;111;L=4;111;199;
1438;L=3;26;29;L=4;29;29;
1439;L=3;31;45;L=4;45;68;
1440;L=3;35;50;L=4;50;74;
1441;L=3;40;66;L=4;66;113;
1442;L=3;44;71;L=4;71;119;
1443;L=3;49;87;L=4;87;158;
1444;L=3;35;50;L=4;50;74;
1445;L=3;40;66;L=4;66;113;
1446;L=3;44;71;L=4;71;119;
1447;L=3;53;92;L=4;92;164;
1448;L=3;56;98;L=4;98;173;
1449;L=3;42;61;L=4;61;89;
1450;L=3;47;77;L=4;77;128;
1451;L=3;51;82;L=4;82;134;
1452;L=3;60;103;L=4;103;179;
1453;L=3;59;105;L=4;105;190;
1454;L=3;63;110;L=4;110;196;
1455;L=3;61;110;L=4;110;198;
1456;L=3;31;45;L=4;45;68;
1457;L=3;35;50;L=4;50;74;
1458;L=3;40;66;L=4;66;113;
1459;L=3;44;71;L=4;71;119;
1460;L=3;49;87;L=4;87;158;
1461;L=3;53;92;L=4;92;164;
1462;L=3;56;98;L=4;98;173;
1463;L=3;38;56;L=4;56;83;
1464;L=3;42;61;L=4;61;89;
1465;L=3;47;77;L=4;77;128;
1466;L=3;51;82;L=4;82;134;
1467;L=3;60;103;L=4;103;179;
1468;L=3;59;105;L=4;105;190;
1469;L=3;63;110;L=4;110;196;
1470;L=3;65;115;L=4;115;204;
1471;L=3;24;29;L=4;29;31;
1472;L=3;28;34;L=4;34;37;
1473;L=3;33;50;L=4;50;76;
1474;L=3;37;55;L=4;55;82;
1475;L=3;42;71;L=4;71;121;
1476;L=3;46;76;L=4;76;127;
1477;L=3;51;92;L=4;92;166;
1478;L=3;33;50;L=4;50;76;
1479;L=3;37;55;L=4;55;82;
1480;L=3;42;71;L=4;71;121;
1481;L=3;46;76;L=4;76;127;
1482;L=3;55;97;L=4;97;172;
1483;L=3;58;103;L=4;103;181;
1484;L=3;40;61;L=4;61;91;
1485;L=3;44;66;L=4;66;97;
1486;L=3;49;82;L=4;82;136;
1487;L=3;53;87;L=4;87;142;
1488;L=3;62;108;L=4;108;187;
1489;L=3;66;116;L=4;116;205;
1490;L=3;27;30;L=4;30;30;
1491;L=3;32;46;L=4;46;69;
1492;L=3;36;51;L=4;51;75;
1493;L=3;41;67;L=4;67;114;
1494;L=3;45;72;L=4;72;120;
1495;L=3;50;88;L=4;88;159;
1496;L=3;36;51;L=4;51;75;
1497;L=3;41;67;L=4;67;114;
1498;L=3;45;72;L=4;72;120;
1499;L=3;54;93;L=4;93;165;
1500;L=3;57;99;L=4;99;174;
1501;L=3;43;62;L=4;62;90;
1502;L=3;48;78;L=4;78;129;
1503;L=3;52;83;L=4;83;135;
1504;L=3;61;104;L=4;104;180;
1505;L=3;60;106;L=4;106;191;
1506;L=3;64;111;L=4;111;197;
1507;L=3;60;106;L=4;106;191;
1508;L=3;32;46;L=4;46;69;
1509;L=3;36;51;L=4;51;75;
1510;L=3;41;67;L=4;67;114;
1511;L=3;45;72;L=4;72;120;
1512;L=3;50;88;L=4;88;159;
1513;L=3;54;93;L=4;93;165;
1514;L=3;57;99;L=4;99;174;
1515;L=3;39;57;L=4;57;84;
