ProductID;L=3;V_3;E_3;L=4;V_4;E_4;
285;L=3;55;97;L=4;97;154;
286;L=3;35;42;L=4;42;49;
287;L=3;46;71;L=4;71;101;
288;L=3;31;34;L=4;34;37;
289;L=3;40;54;L=4;54;69;
290;L=3;33;39;L=4;39;45;
291;L=3;37;45;L=4;45;53;
292;L=3;30;32;L=4;32;34;
293;L=3;46;71;L=4;71;101;
294;L=3;35;42;L=4;42;49;
295;L=3;37;45;L=4;45;53;
296;L=3;48;74;L=4;74;105;
297;L=3;37;45;L=4;45;53;
298;L=3;37;45;L=4;45;53;
299;L=3;42;57;L=4;57;73;
300;L=3;38;51;L=4;51;65;
301;L=3;44;68;L=4;68;97;
302;L=3;42;57;L=4;57;73;
303;L=3;35;42;L=4;42;49;
304;L=3;40;54;L=4;54;69;
305;L=3;33;39;L=4;39;45;
306;L=3;40;54;L=4;54;69;
307;L=3;33;37;L=4;37;41;
308;L=3;38;51;L=4;51;65;
309;L=3;44;68;L=4;68;97;
310;L=3;42;57;L=4;57;73;
311;L=3;33;39;L=4;39;45;
312;L=3;31;34;L=4;34;37;
313;L=3;37;45;L=4;45;53;
314;L=3;35;42;L=4;42;49;
315;L=3;31;34;L=4;34;37;
316;L=3;55;97;L=4;97;154;
317;L=3;30;32;L=4;32;34;
318;L=3;30;32;L=4;32;34;
319;L=3;33;39;L=4;39;45;
320;L=3;35;42;L=4;42;49;
321;L=3;29;31;L=4;31;33;
322;L=3;37;45;L=4;45;53;
323;L=3;31;34;L=4;34;37;
324;L=3;46;71;L=4;71;101;
325;L=3;40;54;L=4;54;69;
326;L=3;35;42;L=4;42;49;
327;L=3;35;42;L=4;42;49;
328;L=3;48;74;L=4;74;105;
329;L=3;38;51;L=4;51;65;
330;L=3;42;57;L=4;57;73;
331;L=3;45;76;L=4;76;128;
332;L=3;31;34;L=4;34;37;
333;L=3;33;39;L=4;39;45;
334;L=3;38;51;L=4;51;65;
335;L=3;34;45;L=4;45;63;
336;L=3;42;57;L=4;57;73;
337;L=3;37;45;L=4;45;53;
338;L=3;35;42;L=4;42;49;
339;L=3;33;39;L=4;39;45;
340;L=3;33;39;L=4;39;45;
341;L=3;31;34;L=4;34;37;
342;L=3;48;74;L=4;74;105;
343;L=3;35;42;L=4;42;49;
344;L=3;36;47;L=4;47;62;
345;L=3;35;42;L=4;42;49;
346;L=3;35;42;L=4;42;49;
347;L=3;48;74;L=4;74;105;
348;L=3;42;57;L=4;57;73;
349;L=3;40;54;L=4;54;69;
350;L=3;42;57;L=4;57;73;
351;L=3;42;57;L=4;57;73;
352;L=3;42;57;L=4;57;73;
353;L=3;41;61;L=4;61;93;
354;L=3;53;94;L=4;94;150;
355;L=3;29;31;L=4;31;33;
356;L=3;37;45;L=4;45;53;
357;L=3;35;42;L=4;42;49;
358;L=3;42;57;L=4;57;73;
359;L=3;42;57;L=4;57;73;
360;L=3;38;51;L=4;51;65;
361;L=3;40;54;L=4;54;69;
362;L=3;33;37;L=4;37;41;
363;L=3;37;45;L=4;45;53;
364;L=3;53;94;L=4;94;150;
365;L=3;35;42;L=4;42;49;
366;L=3;40;54;L=4;54;69;
367;L=3;35;42;L=4;42;49;
368;L=3;52;100;L=4;100;185;
369;L=3;42;57;L=4;57;73;
370;L=3;30;32;L=4;32;34;
371;L=3;42;57;L=4;57;73;
372;L=3;55;97;L=4;97;154;
373;L=3;37;45;L=4;45;53;
374;L=3;35;42;L=4;42;49;
375;L=3;37;45;L=4;45;53;
376;L=3;33;37;L=4;37;41;
377;L=3;35;42;L=4;42;49;
378;L=3;28;29;L=4;29;30;
379;L=3;37;45;L=4;45;53;
380;L=3;29;31;L=4;31;33;
381;L=3;46;71;L=4;71;101;
382;L=3;35;42;L=4;42;49;
383;L=3;42;57;L=4;57;73;
384;L=3;33;39;L=4;39;45;
385;L=3;37;45;L=4;45;53;
386;L=3;35;42;L=4;42;49;
387;L=3;46;71;L=4;71;101;
388;L=3;31;34;L=4;34;37;
389;L=3;35;42;L=4;42;49;
390;L=3;35;42;L=4;42;49;
391;L=3;40;54;L=4;54;69;
392;L=3;40;54;L=4;54;69;
393;L=3;53;94;L=4;94;150;
394;L=3;44;68;L=4;68;97;
395;L=3;35;42;L=4;42;49;
396;L=3;35;42;L=4;42;49;
397;L=3;35;42;L=4;42;49;
398;L=3;40;54;L=4;54;69;
399;L=3;42;57;L=4;57;73;
400;L=3;31;34;L=4;34;37;
